City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Newton,351,Massachusetts,4.9,87971,42.3370413
San Leandro,352,California,10.3,87965,37.7249296
Reading,353,Pennsylvania,8,87893,40.3356483
Norwalk,354,Connecticut,5.6,87776,41.117744
Fort Smith,355,Arkansas,8.6,87650,35.3859242
Newport Beach,356,California,10.4,87273,33.6189101
Asheville,357,North Carolina,19.6,87236,35.5950581
Nashua,358,New Hampshire,0.4,87137,42.7653662
Edmond,359,Oklahoma,26.9,87004,35.6528323
Whittier,360,California,3.3,86635,33.9791793
Nampa,361,Idaho,57.9,86518,43.5407172
Bloomington,362,Minnesota,1.3,86319,44.840798
Deltona,363,Florida,23.1,86290,28.9005446
Hawthorne,364,California,2.3,86199,33.9164032
Duluth,365,Minnesota,-0.1,86128,46.7866719
Carmel,366,Indiana,60.4,85927,39.978371
Suffolk,367,Virginia,33.5,85728,36.7282054
Clifton,368,New Jersey,7.9,85390,40.8584328
Citrus Heights,369,California,-0.1,85285,38.7071247
Livermore,370,California,15.1,85156,37.6818745
Tracy,371,California,45.9,84691,37.7396513
Alhambra,372,California,-0.7,84577,34.095287
Kirkland,373,Washington,87.5,84430,47.6814875
Trenton,374,New Jersey,-1.2,84349,40.2170534
Ogden,375,Utah,8.6,84249,41.223
Hoover,376,Alabama,32.7,84126,33.4053867
Cicero,377,Illinois,-1.6,84103,41.8455877
Fishers,378,Indiana,114.8,83891,39.9567548
Sugar Land,379,Texas,29.1,83860,29.6196787
Danbury,380,Connecticut,11.4,83684,41.394817
Meridian,381,Idaho,127.6,83596,43.6121087
Indio,382,California,66,83539,33.7205771
Concord,383,North Carolina,47.4,83506,35.4087517
Menifee,384,California,95,83447,33.6971468
Champaign,385,Illinois,18.3,83424,40.1164204
Buena Park,386,California,6.1,82882,33.8675143
Troy,387,Michigan,2.2,82821,42.6064095
O'Fallon,388,Missouri,62.6,82809,38.8106075
Johns Creek,389,Georgia,36.5,82788,34.0289259
Bellingham,390,Washington,21.8,82631,48.74908
Westland,391,Michigan,-4.7,82578,42.324204
Bloomington,392,Indiana,16.1,82575,39.165325
Sioux City,393,Iowa,-2.9,82459,42.4999942
Warwick,394,Rhode Island,-4.6,81971,41.7001009
Hemet,395,California,37.6,81750,33.7475203
Longview,396,Texas,11.6,81443,32.5007037
Farmington Hills,397,Michigan,-0.9,81295,42.4989936
Bend,398,Oregon,54.3,81236,44.0581728
Lakewood,399,California,2.1,81121,33.8536269
Merced,400,California,25.4,81102,37.3021632
Mission,401,Texas,74.5,81050,26.2159066
Chino,402,California,15.6,80988,34.0122346
Redwood City,403,California,7.1,80872,37.4852152
Edinburg,404,Texas,65.1,80836,26.3017374
Cranston,405,Rhode Island,1.4,80566,41.7798226
Parma,406,Ohio,-5.9,80429,41.4047742
New Rochelle,407,New York,9.9,79446,40.9114882
Lake Forest,408,California,4.2,79312,33.6469661
Napa,409,California,8.4,79068,38.2975381
Hammond,410,Indiana,-4.6,78967,41.5833688
Fayetteville,411,Arkansas,32.9,78960,36.0625795
Bloomington,412,Illinois,20.1,78902,40.4842027
Avondale,413,Arizona,111.5,78822,33.4355977
Somerville,414,Massachusetts,1.6,78804,42.3875968
Palm Coast,415,Florida,137.2,78740,29.5844524
Bryan,416,Texas,19.3,78709,30.6743643
Gary,417,Indiana,-23.4,78450,41.5933696
Largo,418,Florida,5.1,78409,27.9094665
Brooklyn Park,419,Minnesota,16,78373,45.0941315
Tustin,420,California,15.6,78327,33.7458511
Racine,421,Wisconsin,-4.4,78199,42.7261309
Deerfield Beach,422,Florida,4.8,78041,26.3184123
Lynchburg,423,Virginia,19.5,78014,37.4137536
Mountain View,424,California,10.1,77846,37.3860517
Medford,425,Oregon,17.1,77677,42.3265152
Lawrence,426,Massachusetts,7.5,77657,42.7070354
Bellflower,427,California,6.3,77593,33.8816818
Melbourne,428,Florida,5.9,77508,28.0836269
St. Joseph,429,Missouri,4.1,77147,39.7674578
Camden,430,New Jersey,-3.6,76903,39.9259463
St. George,431,Utah,53.1,76817,37.0965278
Kennewick,432,Washington,29.1,76762,46.2112458
Baldwin Park,433,California,0.8,76635,34.0852868
Chino Hills,434,California,13.6,76572,33.9898188
Alameda,435,California,5.4,76419,37.7652065
Albany,436,Georgia,-0.6,76185,31.5785074
Arlington Heights,437,Illinois,-0.6,75994,42.0883603
Scranton,438,Pennsylvania,0,75806,41.408969
Evanston,439,Illinois,1.9,75570,42.0450722
Kalamazoo,440,Michigan,-1.9,75548,42.2917069
Baytown,441,Texas,13.1,75418,29.7355047
Upland,442,California,9.5,75413,34.09751
Springdale,443,Arkansas,57.1,75229,36.1867442
Bethlehem,444,Pennsylvania,5.2,75018,40.6259316
Schaumburg,445,Illinois,-0.5,74907,42.0333607
Mount Pleasant,446,South Carolina,53.2,74885,32.8323225
Auburn,447,Washington,34.9,74860,47.3073228
Decatur,448,Illinois,-8.7,74710,39.8403147
San Ramon,449,California,65.8,74513,37.7799273
Pleasanton,450,California,15.2,74110,37.6624312
Wyoming,451,Michigan,6.5,74100,42.9133602
Lake Charles,452,Louisiana,3,74024,30.2265949
Plymouth,453,Minnesota,12,73987,45.0105194
Bolingbrook,454,Illinois,29.7,73936,41.6986416
Pharr,455,Texas,55.7,73790,26.1947962
Appleton,456,Wisconsin,4.5,73596,44.2619309
Gastonia,457,North Carolina,8.2,73209,35.262082
Folsom,458,California,38.6,73098,38.6779591
Southfield,459,Michigan,-6.7,73006,42.4733688
Rochester Hills,460,Michigan,5.7,72952,42.6583661
New Britain,461,Connecticut,1.9,72939,41.6612104
